,Gender_Female,Gender_Male,Gender_No Gender,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Credit_History_0.0,Credit_History_1.0,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Dependents,LoanAmount,Loan_Amount_Term,ApplicantIncome,CoapplicantIncome,Loan_Status
0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,128.0,360,5849,0.0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,128.0,360,4583,1508.0,0
2,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,66.0,360,3000,0.0,1
3,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,120.0,360,2583,2358.0,1
4,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,141.0,360,6000,0.0,1
5,0,1,0,0,1,1,0,0,1,0,1,0,0,1,2,267.0,360,5417,4196.0,1
6,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,95.0,360,2333,1516.0,1
7,0,1,0,0,1,1,0,1,0,1,0,0,1,0,3,158.0,360,3036,2504.0,0
8,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,168.0,360,4006,1526.0,1
9,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,349.0,360,12841,10968.0,0
10,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,70.0,360,3200,700.0,1
11,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,109.0,360,2500,1840.0,1
12,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,200.0,360,3073,8106.0,1
13,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,114.0,360,1853,2840.0,0
14,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,17.0,120,1299,1086.0,1
15,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,125.0,360,4950,0.0,1
16,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,100.0,240,3596,0.0,1
17,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,76.0,360,3510,0.0,0
18,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,133.0,360,4887,0.0,0
19,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,115.0,128,2600,3500.0,1
20,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,104.0,360,7660,0.0,0
21,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,315.0,360,5955,5625.0,1
22,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,116.0,360,2600,1911.0,0
23,0,0,1,0,1,0,1,1,0,1,0,1,0,0,2,112.0,360,3365,1917.0,0
24,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,151.0,360,3717,2925.0,0
25,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,191.0,360,9560,0.0,1
26,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,122.0,360,2799,2253.0,1
27,0,1,0,0,1,0,1,1,0,0,1,0,0,1,2,110.0,360,4226,1040.0,1
28,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,35.0,360,1442,0.0,0
29,1,0,0,1,0,1,0,1,0,0,1,0,1,0,2,120.0,360,3750,2083.0,1
30,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,201.0,360,4166,3369.0,0
31,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,74.0,360,3167,0.0,0
32,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,106.0,360,4692,0.0,0
33,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,114.0,360,3500,1667.0,1
34,0,1,0,1,0,1,0,1,0,0,1,1,0,0,3,320.0,360,12500,3000.0,0
35,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,128.0,360,2275,2067.0,1
36,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,100.0,128,1828,1330.0,0
37,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,144.0,360,3667,1459.0,1
38,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,184.0,360,4166,7210.0,1
39,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,110.0,360,3748,1668.0,1
40,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,80.0,360,3600,0.0,0
41,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,47.0,360,1800,1213.0,1
42,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,75.0,360,2400,0.0,1
43,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,134.0,360,3941,2336.0,1
44,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,96.0,128,4695,0.0,1
45,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,88.0,128,3410,0.0,1
46,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,44.0,360,5649,0.0,1
47,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,144.0,360,5821,0.0,1
48,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,120.0,360,2645,3440.0,0
49,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,144.0,360,4000,2275.0,1
50,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,100.0,360,1928,1644.0,1
51,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,120.0,360,3086,0.0,1
52,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,112.0,360,4230,0.0,0
53,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,134.0,360,4616,0.0,0
54,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,286.0,360,11500,0.0,0
55,0,1,0,0,1,1,0,1,0,0,1,0,1,0,2,97.0,360,2708,1167.0,1
56,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,96.0,360,2132,1591.0,1
57,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,135.0,360,3366,2200.0,0
58,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,180.0,360,8080,2250.0,1
59,0,1,0,0,1,0,1,1,0,0,1,0,0,1,2,144.0,360,3357,2859.0,1
60,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,120.0,360,2500,3796.0,1
61,0,1,0,0,1,1,0,1,0,0,1,0,0,1,3,99.0,360,3029,0.0,1
62,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,165.0,180,2609,3449.0,0
63,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,128.0,360,4945,0.0,0
64,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,116.0,360,4166,0.0,0
65,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,258.0,360,5726,4595.0,0
66,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,126.0,180,3200,2254.0,0
67,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,312.0,360,10750,0.0,1
68,0,1,0,0,1,0,1,0,1,0,1,0,0,1,3,125.0,60,7100,0.0,1
69,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,136.0,360,4300,0.0,0
70,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,172.0,360,3208,3066.0,1
71,0,1,0,0,1,0,1,0,1,0,1,0,1,0,2,97.0,360,1875,1875.0,1
72,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,81.0,300,3500,0.0,1
73,0,1,0,0,1,0,1,1,0,1,0,0,1,0,3,95.0,128,4755,0.0,0
74,0,1,0,0,1,1,0,0,1,0,1,0,1,0,3,187.0,360,5266,1774.0,1
75,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,113.0,480,3750,0.0,0
76,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,176.0,360,3750,4750.0,0
77,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,110.0,360,1000,3022.0,0
78,0,1,0,0,1,1,0,1,0,1,0,0,1,0,3,180.0,300,3167,4000.0,0
79,0,1,0,0,1,0,1,0,1,0,1,0,1,0,3,130.0,360,3333,2166.0,1
80,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,111.0,360,3846,0.0,1
81,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,128.0,360,2395,0.0,1
82,1,0,0,0,1,1,0,1,0,0,1,0,0,1,2,167.0,360,1378,1881.0,0
83,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,265.0,360,6000,2250.0,0
84,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,50.0,240,3988,0.0,1
85,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,136.0,360,2366,2531.0,1
86,0,1,0,0,1,0,1,1,0,0,1,0,1,0,2,99.0,360,3333,2000.0,1
87,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,104.0,360,2500,2118.0,1
88,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,210.0,360,8566,0.0,1
89,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,175.0,360,5695,4167.0,1
90,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,131.0,360,2958,2900.0,1
91,0,1,0,0,1,1,0,1,0,0,1,0,1,0,2,188.0,180,6250,5654.0,1
92,0,1,0,0,1,0,1,1,0,0,1,0,0,1,2,81.0,360,3273,1820.0,1
93,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,122.0,360,4133,0.0,1
94,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,25.0,120,3620,0.0,1
95,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,128.0,360,6782,0.0,0
96,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,137.0,360,2484,2302.0,1
97,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,50.0,360,1977,997.0,1
98,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,115.0,180,4188,0.0,1
99,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,131.0,360,1759,3541.0,1
100,0,1,0,0,1,0,1,1,0,0,1,0,0,1,2,133.0,180,4288,3263.0,1
101,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,151.0,360,4843,3806.0,1
102,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,128.0,360,13650,0.0,1
103,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,128.0,360,4652,3583.0,1
104,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,160.0,360,3816,754.0,1
105,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,100.0,360,3052,1030.0,1
106,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,225.0,360,11417,1126.0,1
107,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,120.0,360,7333,0.0,0
108,0,1,0,0,1,1,0,1,0,1,0,0,0,1,2,216.0,360,3800,3600.0,0
109,0,1,0,0,1,0,1,1,0,0,1,0,1,0,3,94.0,480,2071,754.0,1
110,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,136.0,360,5316,0.0,1
111,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,139.0,360,2929,2333.0,1
112,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,152.0,128,3572,4114.0,0
113,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,128.0,360,7451,0.0,1
114,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,118.0,360,5050,0.0,1
115,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,185.0,180,14583,0.0,1
116,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,154.0,360,3167,2283.0,1
117,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,85.0,360,2214,1398.0,1
118,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,175.0,360,5568,2142.0,0
119,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,259.0,360,10408,0.0,1
120,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,180.0,360,5667,2667.0,1
121,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,44.0,360,4166,0.0,1
122,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,137.0,360,2137,8980.0,1
123,0,1,0,0,1,1,0,1,0,0,1,0,1,0,2,81.0,360,2957,0.0,1
124,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,194.0,360,4300,2014.0,1
125,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,93.0,360,3692,0.0,1
126,0,0,1,0,1,1,0,1,0,0,1,1,0,0,3,370.0,360,23803,0.0,1
127,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,128.0,360,3865,1640.0,1
128,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,160.0,180,10513,3850.0,0
129,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,182.0,360,6080,2569.0,0
130,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,650.0,480,20166,0.0,1
131,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,74.0,360,2014,1929.0,1
132,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,70.0,360,2718,0.0,1
133,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,25.0,120,3459,0.0,1
134,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,102.0,360,4895,0.0,1
135,0,1,0,0,1,1,0,1,0,0,1,0,1,0,3,290.0,360,4000,7750.0,0
136,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,84.0,360,4583,0.0,0
137,0,1,0,0,1,1,0,0,1,0,1,0,0,1,2,88.0,360,3316,3500.0,1
138,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,242.0,360,14999,0.0,0
139,0,1,0,0,1,0,1,1,0,0,1,1,0,0,2,129.0,360,4200,1430.0,0
140,0,1,0,0,1,1,0,1,0,0,1,1,0,0,2,185.0,360,5042,2083.0,0
141,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,168.0,360,5417,0.0,1
142,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,175.0,180,6950,0.0,1
143,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,122.0,360,2698,2034.0,1
144,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,187.0,180,11757,0.0,1
145,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,100.0,360,2330,4486.0,1
146,1,0,0,0,1,1,0,1,0,0,1,0,0,1,2,70.0,360,14866,0.0,1
147,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,30.0,360,1538,1425.0,1
148,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,225.0,360,10000,1666.0,0
149,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,125.0,360,4860,830.0,1
150,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,118.0,360,6277,0.0,0
151,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,152.0,360,2577,3750.0,1
152,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,244.0,360,9166,0.0,0
153,0,1,0,0,1,0,1,1,0,0,1,1,0,0,2,113.0,360,2281,0.0,0
154,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,50.0,360,3254,0.0,1
155,0,1,0,0,1,1,0,1,0,1,0,0,1,0,3,600.0,180,39999,0.0,1
156,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,160.0,360,6000,0.0,1
157,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,187.0,360,9538,0.0,1
158,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,120.0,360,2980,2083.0,1
159,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,255.0,360,4583,5625.0,1
160,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,98.0,360,1863,1041.0,1
161,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,275.0,360,7933,0.0,0
162,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,121.0,360,3089,1280.0,0
163,0,1,0,0,1,1,0,1,0,0,1,1,0,0,2,158.0,360,4167,1447.0,1
164,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,75.0,180,9323,0.0,1
165,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,182.0,128,3707,3166.0,1
166,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,112.0,360,4583,0.0,0
167,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,129.0,360,2439,3333.0,1
168,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,63.0,480,2237,0.0,0
169,0,1,0,0,1,1,0,1,0,0,1,0,1,0,2,200.0,360,8000,0.0,1
170,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,95.0,360,1820,1769.0,1
171,0,0,1,0,1,1,0,1,0,0,1,0,0,1,3,700.0,300,51763,0.0,1
172,0,1,0,0,1,0,1,1,0,0,1,1,0,0,3,81.0,180,3522,0.0,0
173,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,187.0,360,5708,5625.0,1
174,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,87.0,360,4344,736.0,0
175,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,116.0,360,3497,1964.0,1
176,0,1,0,0,1,1,0,1,0,0,1,1,0,0,2,101.0,360,2045,1619.0,1
177,0,1,0,0,1,1,0,1,0,1,0,0,1,0,3,495.0,360,5516,11300.0,0
178,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,116.0,360,3750,0.0,1
179,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,102.0,480,2333,1451.0,0
180,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,180.0,360,6400,7250.0,0
181,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,67.0,360,1916,5063.0,0
182,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,73.0,180,4600,0.0,1
183,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,260.0,360,33846,0.0,0
184,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,108.0,360,3625,0.0,1
185,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,120.0,360,39147,4750.0,1
186,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,66.0,300,2178,0.0,0
187,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,58.0,360,2383,2138.0,1
188,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,168.0,360,674,5296.0,1
189,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,188.0,180,9328,0.0,1
190,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,48.0,360,4885,0.0,1
191,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,164.0,360,12000,0.0,0
192,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,160.0,360,6033,0.0,0
193,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,76.0,360,3858,0.0,1
194,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,120.0,360,4191,0.0,1
195,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,170.0,360,3125,2583.0,0
196,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,187.0,360,8333,3750.0,1
197,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,120.0,128,1907,2365.0,1
198,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,113.0,360,3416,2816.0,1
199,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,83.0,360,11000,0.0,0
200,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,90.0,360,2600,2500.0,1
